 âba _babalar pederler 
 abd _  kul, köle, hizmetçi.  
 ahlâf _  sonrakiler, evvelkilerin yerine geçenler.  
 ahlâk-ı hamîde _  beğenilen güzel ahlâk.  
 ahlâk-ı hasene _  güzel ahlâk.  
 ahlâk-ı İlâhiye _  ilâhi ahlâk olan Peygamberin güzel ahlâkı.  
 ahlâk-ı rezile _  alçak ve kötü ahlâk.  
 ahlâk-ı Seyyie-i vahşiyâne _  vahşice olan kötü ahlâk.  
 ahlâk-ı seyyie _  günah, kötü huy, çirkin ahlâk.  
 ahlâk-ı ulviye _  yüce ve yüksek ahlâk.  
 ahlâk-ı umûmiye _  umumî, sosyal ahlâk, anlayış.  
 ahlâkî _ ahlâkla ilgili, ahlâka uygun.  
 ahlâkiyyun _  ahlâk ilmiyle uğraşanlar.  
 ahmakâne _  ahmakçasına.  
 ahsen _  makbul, geçerli.  
 ahsen-i sûret _  en güzel sûret.  
 ahsen-i takvim _  en güzel biçime koyma; Cenâb-ı Hakkın her şeyi en güzel biçim, sıfat ve sûrette yaratması; insanın en güzel sûrette yaratılışı.  
 ahseniyet _  güzellik ve hüsün.  
 ahsenü'l-Hâlıkin _  her şeyi her şeyle münasebetine lâyık bir tarzda güzel yaratan Hâlık (c. c. ).  
 ahvâl _  haller, durumlar.  
 ahvâl-i âhirin _  sonrakilerin, gelecek olanların halleri.  
 ahvâl-i beşeriye _  insanların yaşayışları. Sosyal hayat.  
 ahvâl-i Cennet _  Cennet'in. halleri, Cennet hayatı.  
 ahvâl-i dünyeviye _  dünya halleri.  
 ahvâl-i mâzi _  geçmişin halleri.  
 ahvâl-i muhtelit _  çeşitli ve değişik haller.  
 ahvâl-i uhreviye _  âhiretteki durumlar, hâdiseler.  
 ahvâl-i vücûdiye _  vücûdun çeşitli halleri.  
 ahvâl-i zaman _  zamanın şartları, halleri.  
 ahyâr-ı semâviyyîn _  göktekilerin en iyileri, göklerin hayırlıları.  
 ahyâr _ hayırlar, iyiler.  
 ahz-ı asker _  asker alımı.  
 ahz-ı misak _  söz ve yemin almak.  
 ahz-ı ücret _  ücret alma.  
 âilevi _ âileye âit, âileyle ilgili.  
 âkab _  bir şeyin gerisi, sonu.  
 akâid-i imâniye _  iman esasları.  
 akâid-i insâniye _  insanî değerler inanışlar. Çoğu insanların bir meseledeki inanç beraberliği.  
 akâid-i kelâmiye _  itikâda, imâna âit meselelerden, İslâmî esaslar dâiresinde bahseden ilim.  
 akâidî _  inanca dâir.  
 akârib _ yakınlar, akrabâlar.  
 akçe _  para.  
 akd _  anlaşma, sözleşme, bağlantı.  
 âkıbet _  bir şeyin sonu; nihayet, netice.  
 Akıbetü'l müttakin _  takva sahiplerinin mutlu sonu.  
 âkıbetü'l-âkibe _  nihai sonuç.  
 âkıl _  akıllı.  
 akılfüruş _  aklını beğendirmeye çalışan, akıllı olduğunu göstermeye gayret eden.  
 akilsuz _  akla ters, aklı rahatsız eden.  
 akide _  inanılan ve îtikad edilen esas.  
 akik _  çoğunlukla kırmızı renkte olan yüzük gibi takılarda kullanılan bir süs taşı.  
 akîm _  neticesiz, kısır, beyhûde; boş.  
 âkil _  beslenen, yiyen.  
 âkilü'n-nebât _  bitkilerle beslenenler. Ot oburlar.  
 âkilü's-semek _  balık eti ile beslenenler.  
 akis _  yansıma.  
 akl-ı beşer _  insan aklı.  
 akl-ı dünyevî _  dünyevi akıl.  
 akl-ı evvel _  ilk akıl.  
 aklen _  akıl ile, akıl yoluyla, akıl bakımından.  
 aklî _  akıl ile bilinen veya bulunan şey; akla mensup, akıla dâir ve onunla ilgili.  
 akran _  emsâller, yaşıtlar.  
 akreb _  en yakın.  
 akrebiyet-i İlâhiye _  Allah'a olan yakınlık.  
 akrebiyet _  yakınlık, yakın olma.  
 aks _  yansıma, yankı; zıd.  
 aks-i sadâ _  ses yankılanması.  
 aks-i nur _  ışığın yansıması.  
 aksâm _  kısımlar, bölümler.  
 aksâm-ı huruf _  harflerin kısımları.  
 aksâm-ı ihsahât _  ihsan ve lütufların çeşitleri, kısımları.  
 aksâm-ı kelâmiye _  sözün kısımları.  
 aksâm-ı kesîre _  çok kısımlar.  
 aksâm-ı ma'lûme _  bilinen kısımlar.  
 aksâm-ı Tevhid _  tevhidin kısımları.  
 aksâm-ı zinet _  süs dereceleri, zînet çeşitleri.  
 aktâb _  kutublar, hak tarîkatlerin reisleri, şahları; bir çok Müslümanların kendisine bağlandıkları büyük velilerden zamanın en büyük mürşidi olan kimseler.  
 aktâb-ı âşıkîn _  Allah ve hak âşığı olan kutuplar, hak tarikatların şahları, reisleri.  
 aktâr _  her taraf, her yer; çaplar.  
 aktâr-ı âlem _  kâinat memleketi, kâinatın dört bir yanı.  
 aktâr-ı arz _  dünyanın her tarafı.  
 aktâr-ı İslâmi _  İslâm âleminin dört bir yanı; her taraf, dünyanın dört bir yanı.  
 aktâr-ı memleket _  memleketin her tarafı.  
 aktâr-ı zemin _  zeminin her bir yanı, dünyanın her köşesi.  
 aktrist _  tiyatroda rol yapan kadın oyuncu.  
 akvâl _  kelimeler, konuşmalar, sözler, kaviller.  
 akvâm-ı âlem _  dünyadaki millletler.  
 akvâm-ı beşeriye _  insan kavimleri; milletler.  
 akvâm _  kavimler, milletler.  
 Âl _ Peygamberimizin âilesine mensup olanlar.  
 âlâ _  üstün, yüce, çok yüksek, kıymetli.  
 âlâ-yı illiyyin-i insâniyet _  insanlığın en yüksek derecesi.  
 âlâ-yı illiyyin _  Allah katında en iyilerin derecesi; Cennetin en yüksek derecesi; yüceler yücesi, en yüksek mertebe.  
 alâik-ı nakş _  nakışlardaki benzerlik ve alâka.  
 alaka _  asılıp tutunan şey, bebeğin anne karnındaki 40-50'inci günleri arasındaki devreye denir.  
 alâka _  bağlılık, bağ, ilişki.  
 alâkadar _  bağlı, alâkalı, ilgili.  
 alâkadarâne _  ilgilenerek, alâka göstererek.  
 alâküllihâl _  ister istemez, her durumda, her halükârda, eninde sonunda.  
 âlâm _  elemler, acılar.  
 âlâm-ı firak _  ayrılık elemleri.  
 âlâm-i hazînâne _  üzüntü verici elemler.  
 alâmât _  işaretler, semboller.  
 alâmet _  belirti, işaret, nişan.  
 alâmet-i fârika _  bir şeyi diğerlerinden farklı kılan hususiyet.  
 alâmet-i Kıyâmet _  kıyâmet alâmetleri.  
 âlât _  âletler, vâsıtalar.  
 âlât-ı lehviyat _  eğlence aletleri.  
 alay _  3-4 tabur piyade veya 5 bölük askerden meydana gelen kuvvet.  
 Âlem-i şehâdet _  şehâdet âlemi gözümüzle ördüğümüz âlem, bu dünya, kâinât.  
 âlem-i âhiret _  ahiret âlemi.  
 âlem-i an _  dünya âlemi.  
 âlem-i arziye _  dünyâ âlemleri; yeryüzündeki muhtelif âlem yeri.  
 âlem-i asgar ve ekber _  en küçük ve en büyük âlem. İnsan ve kâinat.  
 âlem-i asgar _  en küçük âlem, insan.  
 âlem-i bâkî _  sonsuz olan âhiret âlemi.  
 âlem-i bekâ _  sonsuzluk alemi; âhiret.  
 âlem-i berzah _  ölenlerin, Kıyâmete kadar bulundukları âlem; kabir âlemi; ruhların ve ruhânîlerin bulunduğu âlem.  
 âlem-i beşeriyet _  insanlık âlemi.  
 âlem-i cismâniyât _  maddî varlıkların bulunduğu âlemler.  
 âlem-i cismâniyet _  madde âlemi. varlık dünyası.  
 âlem-i ebed _  sonsuz âlem.  
 âlem-i ebediyet _  sonsuzluk âlemi.  
 âlem-i ekber _  en büyük âlem.  
 âlem-i emr _  Cenâb-ı Hak'kın değişmeyen sabit hakîkatler şeklinde devam eden kânunları âlemi, dairesi.  
 âlem-i ervah _  ruhlar âlemi, ruhların ve ruhânilerin bulunduğu âlem.  
 âlem-i gayb _  görünmeyen alem, kabir, Cennet, Cehennem gibi göremediğimiz âlemler.  
 âlem-i hakîkat _  gerçek dünya. Geçici ve fani olmayan âlem.  
 âlem-i insâniyet _  insanlık âlemi.  
 âlem-i İslâm _  İslâm âlemi.  
 âlem-i İslâmiyet _  İslâmiyet âlemi.  
 âlem-i kebîr _  büyük âlem, kâinât.  
 âlem-i kesif _  karanlık âlem. Dünya.  
 âlem-i küfür _  küfür dünyası.  
 âlem-i lâtif _  nurlu âlem; ahiret.  
 âlem-i mahşer _  kabir hayatının bitmesinden sonra yeniden diriliş ve toplanmanın olacağı âlem.  
 âlem-i mânâ _  gözle gördüğümüz âlemin dışındaki mânâ âlemi; mâneviyat büyüklerince bilinen âlem.  
 âlem-i manevîye-i İslâmiye _  İslâmiyetin mânevî âlemi.  
 âlem-i medeniyet _  medeniyet dünyası.  
 âlem-i melekût _  meleklerin dünyası.  
 âlem-i menâm _  uyku âlemi, rüyâ âlemi.  
 âlem-i misâl _  bütün varlıkların ve hâdiselerin görüntülerinin, sûretlerinin bulunduğu âlem; rüyâ âlemi.  
 âlem-i mubsırât _  görünen varlıklar âlemi.  
 âlem-i mülk _  görünen âlem her şeyin dış yüzünün meydanâ getirdiği âlem.  
 âlem-i mülk ve melekût _  varlıkların dış ve iç yüzleri iyi kötü güzel çirkin gibi zıtları içine alan sebepler dünyası âlem-i mülk, hiç bir vasıta ve engelin müdâhale edemediği, hüküm ve idâresi sadece Allah'ın elinde bulunan âlem ise âlem-i melekût.  
 âlem-i nur-u enver _  âlemin nurunun nuru.  
 âlem-i nur _  nur âlemi, âhiret.  
 âlem-i rahat _  rahat âlemi.  
 âlem-i rahmet _  rahmet dünyası.  
 âlem-i sağir _  küçük âlem. İnsan bedeni.  
 âlem-i süfli _  alt ve aşağıdaki âlem. Maden, bitki ve hayvanlar âlemi.  
 âlem-i şehâdet _  şehâdet âlemi, gözle gördüğümüz âlem.  
 alem-i tagayyür _ değişme âlemi; her şeyin aynı kalmayıp devamlı değiştiği alem.  
 âlem-i uhrevî _  öbür hayat, âhiret hayatı.  
 âlem-i uhreviye _  âhiret âlemi.  
 âlem-i ulvi _  yükseklerdeki âlem ve dünyalar.  
 âlem-i zulûmât _  karanlıklar âlemi.  
 alemdâr _  bayrak tutan; bayraktar.  
 âlemü'l guyûb _  gayb âlemleri, görünmeyen alemler.  
 âlet-i hevesât _  hevesât âleti.  
 ölet-i inkişaf _  gelişmeye müsait. Geliştirilebilen bir âlet.  
 âlet-i mülahaza _  düşünme ve muhakeme vasıtası.  
 âlet-i tâzib _  azap verme âleti.  
 âlet-i tenâsül-i insan _  insanın üreme organı.  
 âlet-i tes'id _  saadete ulaştırma âleti.  
 Alevi _  Hz. Ali'ye mensup olan, Şia.  
 aleyh _ onun hakkında, onun üzerinde, onun zararına (olumsuz olarak kullanılır).  
 aleyhimüsselâm _  Allah onlara selâm etsin.  
 Aleyhisselâtü Vesselâm _  "Allah'ın salât ve selâmı üzerine olsun" mânâsında Peygamberimiz için yapılan duâ.  
 âli _ üstün, yüce, yüksek, büyük, azîz.  
 Alim-i Hakim _  her şeyi bilen ve hikmetle yaratan Allah.  
 Alim-i Küll-i Şey _  her şeyi bilen ve her şeyin ilmi dahilinde olan Allah.  
 Alîm-i Mutlak _  ilmine hiçbir şekilde sınır konamayan ve herzeyi hakkıyla bilen Allah.  
 Alîm _  herzeyi hakkıyla bilen, sonsuz ilim sahibi; herzeyi hakkıyla bilen Allah.  
 âlimâne _  âlimlere yakışır bir şekilde.  
 âlicenap _  yüksek ahlâklı, cömert.  
 âlihe _  batıl ilâhlar; ehl-i batılın tanrıları.  
 Alim _  her şeyi hakkıyla bilen Allah.  
 âlim-i ilm-i celb _  bir eşyâyı bir yerden bir yere çekmek ilminin âlimi.  
 âlimâne _  âlimlere yakışır. bir şekilde, bilerek.  
 Allâhümme _  Ey Allah'ım! 
 âlûde _  karışmış, karışık, bulaşmış, alaca.  
 âlûfte _  açık saçık, ahlaksız kadın..  
 âmâ-i asam _  kör ve sağır.  
 a'mâl _  ameller, işler, fiiller.  
 a'mâl-i beşeriye _  insanın yaptıkları işler.  
 âmâl _  emeller, arzular.  
 âmâl-i beşeriye _  insanların amelleri, yaptıkları.  
 âmâl-i sermediyet _  sonsuzluk emelleri ve arzular.  
 amel _  dinî bir emr yerine getirme, itaat, fiil, iş, emek.  
 amel-i sâlih _  dine uygun hayırlı fiil, iyi iş.  
 amel-i uhrevi _  âhirete âit iş; neticesi âhirette görülecek olan davranış.  
 amelen _  işleyerek yaparak; fiîlen.  
 ameli _  amelle ilgili ve ona ait, fiil. olarak, işleme sûretiyle, pratik, tecrübeli.  
 âmennâ ve saddaknâ _  "Doğruluğuna iman edip tasdik ediyoruz" mânâsında; inandık ve tasdik ettik.  
 âmennâ _  iman ettik.  
 Amentü billâh _  "Allah'a îman ettim "  
 âmi _  avâmca, bilgisiz, câhil, ileri gelenlerden olmayan.  
 âmin-i dâimi _  devamlı bir Amin.  
 âmin _  "Yâ Rabbil Öyle olsun, kabul eyle!" mânâsında duâdan sonra söylenir.  
 âmir _  büyük memur, emreden, iş gösteren.  
 Âmir-i Alim _  sonsuz ilim sahibi olan âmir; Allah.  
 Âmir-i Mutlak _  mutlak emir sahibi, ezel ve ebed Sultanı olan Allah.  
 âmiriyet _  âmirlik, emredici oluş.  
 âmiyâne _  âdice, bayağıca, cahillere yakışır surette.  
 âmm _  herkese âit, umuma âit, umumi.  
 âmme _  genel, umumî.  
 an'ane _  gelenek, âdet, örf; ağızdan nakledilen söz.  
 ân-ı seyyâle _  bir anda akıp giden zaman dilimi. Su gibi geçen an.  
 anahtar külçesi _  anahtar demeti, bir tele dirilmiş çok sayıda anahtarların hepsi.  
 anâsır-ı arziye _  dünyadaki unsurlar.  
 anâsır-ı asliye _  temel unsurlar.  
 anâsır-ı câmide _  cansız ve ruhsuz unsurlar, elementler.  
 anâsır-ı külliye _  küllî ve dünyanın her tarafına yayılan unsurlar.  
 anâsır-ı mâneviye _  mânevî unsurlar.  
 anâsırı saire _  diğer unsurlar. Toprağın dışındakiler (Su, hava, ziya)  
 anâsır-ı tabâyia _  tabiattaki unsurlar (dağ, taş, deniz v. s. ) 
 anâsır-ı zâhiriye _  toprak, ziyâ, hava, su gibi maddî unsurlar.  
 anâsır _  elemanlar, unsurlar, elementler; bütünü meydana getiren parçalar; varlıkların meydana gelmesini sağlayan temel unsurlar, elementler 
 andelib-i zîşan _  şan sahibi bülbül.  
 angarya _  ücretsiz olan iş.  
 âni _  birden bire.  
 ankebût _  örümcek.  
 antika-i sanat-ı Rabbâniye _  değerli ve mükemmel güzellikteki İlâhı sanat.  
 antika _  kıymetli sanat eseri; eski zamandan kalma eser, tarihî eser.  
 Arabî _  Arapça.  
 Arabiyyü'l-ibâre _  Arapça paragraf, Arapça bölüm.  
 arazi _  sonradan ortaya çıkan, dolayısıyla.  
 ârız _  bulaşma, yaklaşma; sonradan ortaya çıkma.  
 ârızi _  sonradan olma, bir şeyin aslından olmayan.  
 ârif _  bilen, bilgide ileri olan, âşinâ, vâkıf; hakkı hakkıyla bilen; bir şeyi çok düşünmeye ihtiyaç duymadan ve zorlanmadan kolayca anlayan; zevkî. ve vicdanî irfan sâhibi.  
 ârif-i billâh _  Allah'ı isim ve sıfatlarıyla tanıyan,. mürşide, ermiş, evliyâ.  
 ârif-i münevver _  nurlanmış ve mesleğinin mütehassısı olmuş ve aklı ile beraber kalbi de nurlanmış âlim.  
 ârifin _  ârifler.  
 arş ü ferş _  yer ve gök.  
 Arş _  kürsü, taht, yüce makâm; en yüksek gök; Allah'ın büyüklüğünün yüceliğinin tecellî ettiği yer, askere yürümesi için verilen emir.  
 Arş-ı Azam _  en büyük arş. Allah'ın arşı; yücelerdeki yer.  
 Arş-ı Ehadiyet _  284. sayfa.  
 Arş-ı Mârifetullah _  Allah'ı hakkıyla tanımanın en yüksek derecesi.  
 Arş-ı Rahmân _  Rahmân'ın arşı. Bağışlayan ve yardım eden en yüce makam-ı İlâhî 
 arş-i azamet _  Cenâb-ı Hakkın büyüklüğünün arşı.  
 arş-ı kemâlât _  olgunlukların zirvesi.  
 arş-ı mânevi _  mânevi arş.  
 arş-ı Rubûbiyet _  terbiye ediciliğin yüce makamı Saltanat-ı Rububiyetin tasarrufunda bulunan muhtelif dairelerindeki hususi ve yüce makâm.  
 arşın _  68 santimetreye denk olan eski bir uzunluk ölçüsü 
 arşî ve süllemî _  varlıkların zincirleme sebepler neticesinde birbirini meydana getirdiği görüşü olan "devir ve teselsül"ün batıl olduğunu ispatlamak için kullanılan mantıki bir delil.  
 Arşü'r-Rahmân _  Rahmân olan Allah'ın arşı.  
 arz _  yer, dünya sunma, takdim etme.  
 arz-ı dîdar _  güzelliğini göstermek, yüzünü göstermek.  
 arz-ı münâcât _  duâyı arz etmek.  
 arz-ı ubudiyet _  kulluğun arz edilmesi.  
 arziye _  beşeri, insanların yaptıkları.  
 arzu-yu İlâhiye _  Allah'ın rızâsı ve kullarından isteği.  
 arzuhal _  arzetmek, bir iş için bir makâma verilen dilekçe.  
 arzukeş _  arzulu, istekli.  
 asâ _  değnek.  
 asâ·yı Musâ _  kâfir sihirbazları mağlup eden ve taşa vurulduğunda Cenâb-ı Hakkın izni ile su çıkaran Hz. Musâ'nın (a. s. ) mu'cizeli değneği, asası.  
 âsâb _ damarlar; sinirler.  
 âsâb-ı muharrike _  hareket ettirici sinirler.  
 asabi _  sinirli, öfkeli.  
 asabiyet _ sinirlilik, aşırı gayret, iman ve İslâmiyeti, kendi akrabasını, vatanını veya milletini savunma gayreti, hamiyyet.  
 asabiyet-i nev'iye _ yakınlarına, sülâlesine, milliyetine yakınlık ve taraftarlık damarı.  
 asabiyeten _  asabi olarak, milliyet ve soy açısından.  
 âsân _  kolay.  
 a'sar _  asırlar.  
 âsâr _  eserler, izler, nişanlar; vazifeler, yükler, cürümler, kabahatler.  
 âsâr-ı acîbe _  şaşırtıcı eserler.  
 âsâr-ı azîme _  büyük eserler.  
 âsâr-ı beşeriye _  insanların yâptığı eserler.  
 âsâr-ı ceberut _  ceberut eserleri.  
 âsâr-ı haşmet _  haşmet eserleri.  
 âsâr-ı hayat _  hayat emareleri. Hayata faydalılık veren.  
 âsâr-ı hikmet _  hikmet eserleri.  
 âsâr-ı ihsan _  lütuf ve ihsan nümuneleri, eserleri, belirtileri.  
 âsâr-ı İlâhiye _  İlâhî eserler.  
 âsâr-ı kemâl _  olgunluk eserleri.  
 âsâr-ı Lütuf _  Allah'ın lütuf ve ihsan ettikleri.  
 âsâr-ı meşhude-i âlem _  âlemin görünen eserleri.  
 âsâr-ı mu'cizekârâne _  mu'cize sâhibi zâta yakışan eserler.  
 âsâr-ı nurâniye _  nurâni eserler.  
 âsâr-ı Rabbâniye _  Rabbâni sırlar.  
 âsâr-ı rahmet _  rahmet eserleri.  
 âsâr-ı Rubûbiyet _  Allah'ın (c. c. ) idare ve terbiye edici eserleri.  
 âsâr-ı sanat _  sanat eserleri.  
 âsâr-ı terakki yât _  ilerlemelerin meydana getirdiği eserler.  
 âsâyiş _  emniyet, korku ve endişeden uzak hâl, kânun ve nizam hakimiyeti.  
 asfiyâ _  sâfiyet, kemâl ve takvâ sahibi ve Peygambere (asm) vâris olup onun meslek ve gâyelerini gerçekleştirmeye ve tatbike çalışan zâtlar.  
 asgar _  küçük, asgari.  
